arg-id,comment-id,argument
A1509739285385457673_0,1509739285385457673,@GlenMathanのボットの自動コメントは差別化できて良いと思う。
A1509833088574328837_0,1509833088574328837,白いもふもふ https://t.co/eqpOYMsyVw
A1509854411614732292_0,1509854411614732292,https://t.co/0CmfqmccoI
A1509885384511025152_0,1509885384511025152,@WasephVoxx 顔をたくさん舐められたよ。
A1509885582175989767_0,1509885582175989767,@SquishyWishyBoo ふわふわ〜
A1377908114955989002_0,1377908114955989002,また毛の話してる…(´・ω・`)
A1377909615040471043_0,1377909615040471043,人生には前沢牛を食べる機会もある。
A1377910991703343108_0,1377910991703343108,スーパー発達週間だ。発達していくぞ！
A1377910991703343108_1,1377910991703343108,「発達障害」関連書籍を無料公開｜翔泳社の本 https://t.co/gfFNXMkdMK
A1377918525088522245_0,1377918525088522245,ヒトの進化に関する証拠が内陸部で見つかったことを示す記事: 'ヒトの進化：初期人類の行動を示す証拠が内陸部で見つかった | Nature | Nature Portfolio' https://t.co/3krFuEGc1w
A1377928352799940614_0,1377928352799940614,私は『Let me make an excuse』を出版しました。https://t.co/WnSYz0zxdB
A1377938839155601416_0,1377938839155601416,津軽弁での『Among Us』があったら絶対に見たい。
A583785818835124225_0,583785818835124225,広島と岡山の境界にある福山市は、普段は両県民の立ち入りが制限されているが、毎年五月の「福山ばら祭」の際には特別に一般開放される。この祭りのときだけ、両県民は争いを止め協調することができる。
A583786492692037633_0,583786492692037633,「ぎょう虫検査」の義務づけが2016年4月で廃止されたことに対し、ネット上で惜しむ声が上がっている。 #ldnews http://t.co/RYsDlGfOLH
A583788507954454528_0,583788507954454528,@kitaindia ありがとうございます！phaさんの文体に憧れています！
A1245871605349154818_0,1245871605349154818,タイバニ2期が楽しみです！
A583789851989774337_0,583789851989774337,髪が伸びすぎているので、そろそろ切ろうかな。
A1245879694374797312_0,1245879694374797312,Amazon欲しいものリストで購入していただいたハチミツが届きました。ご支援ありがとうございます。ツキノワグマの探索行動を増やし、退屈な時間を減らすために活用させていただきます。
A1245886196888137728_0,1245886196888137728,アカモジホコリの変形体の動きを観察。変形体の一部でも到達していれば、広範囲の移動も楽にできます。左にいたかと思うとすぐ右に。ワープするようにも見えます。すごい能力です。どこでもドアっぽい。
A1245890029789962240_0,1245890029789962240,日本の学校は論理的思考や科学的思考を十分に教えていない。
A1245890029789962240_1,1245890029789962240,文科省の要領に合致することだけを教えており、クリティカルシンキングが欠けている。
A583807783419514880_0,583807783419514880,マスクを付け忘れてオフィスまで来たが、花粉が少なかったのでよかった。
A1245891345438380033_0,1245891345438380033,国民にCivを配布すれば、自発的ロックダウンが発生しそうだ。
A1245898153607319553_0,1245898153607319553,RT @miyahancom: その一方でまだ SSL 3.0 をサポートしている旧弊社の懐の深さよ。ところでプードルは好きかい？
A1245898153607319553_1,1245898153607319553,「Microsoft Edge 82」も公開中止 ～TLS 1.0/1.1のデフォルト無効化は7月の「Edge 84」に - 窓の杜 https…
A1245906862584639488_0,1245906862584639488,なぜ忍者を走らせない。
A1245906862584639488_1,1245906862584639488,電車の窓が「透明液晶」に。北京地下鉄で運行開始 - Engadget 日本版 https://t.co/crWKsYedca
A583830419788865536_0,583830419788865536,恵比寿でランチを食べている。100円にも満たないパスタだが、だからウソではない。
A1245922519393034242_0,1245922519393034242,自分のために子どもに呪いをかけ続けてきた人だけが出せる凄みがある言葉。
A1245922519393034242_1,1245922519393034242,ひきこもり親子、関係悪化に一定のパターン。禁句は「あなたのため」。
A1245930678660677633_0,1245930678660677633,「バグでないものにバグという言葉を使うのをやめてください」と伝えたところ、「一般人は意味がわからないことを『バグ』と言うんです」と言われました。
